iter	Passed	Remaining
0	10	5697
1	21	5741
2	32	5728
3	44	5743
4	55	5761
5	66	5772
6	78	5826
7	89	5810
8	101	5841
9	114	5884
10	125	5895
11	138	5917
12	150	5927
13	162	5930
14	177	6038
15	188	6013
16	200	6004
17	212	5990
18	224	5983
19	235	5959
20	247	5955
21	260	5968
22	274	5992
23	287	6019
24	301	6037
25	314	6055
26	328	6074
27	343	6103
28	356	6115
29	370	6125
30	421	6724
31	440	6794
32	451	6751
33	463	6712
34	475	6676
35	487	6640
36	498	6586
37	510	6558
38	522	6522
39	534	6495
40	546	6466
41	558	6437
42	569	6401
43	582	6379
44	594	6351
45	606	6324
46	618	6298
47	630	6279
48	641	6242
49	652	6216
50	664	6186
51	674	6144
52	686	6128
53	697	6100
54	708	6070
55	720	6045
56	730	6008
57	741	5987
58	753	5962
59	764	5938
60	775	5909
61	789	5911
62	801	5891
63	813	5871
64	824	5851
65	836	5832
66	848	5811
67	860	5793
68	871	5775
69	883	5756
70	894	5734
71	907	5719
72	918	5700
73	930	5680
74	941	5660
75	953	5643
76	964	5626
77	975	5603
78	987	5587
79	999	5574
80	1011	5558
81	1024	5546
82	1034	5523
83	1046	5506
84	1057	5488
85	1069	5471
86	1081	5455
87	1093	5443
88	1105	5429
89	1117	5411
90	1129	5399
91	1141	5387
92	1154	5374
93	1170	5378
94	1182	5366
95	1194	5349
96	1206	5337
97	1218	5322
98	1230	5308
99	1242	5293
100	1254	5278
101	1266	5263
102	1278	5250
103	1291	5238
104	1304	5230
105	1316	5216
106	1329	5204
107	1341	5192
108	1353	5179
109	1370	5183
110	1386	5182
111	1402	5183
112	1416	5178
113	1431	5173
114	1447	5172
115	1462	5170
116	1478	5169
117	1493	5163
118	1507	5156
119	1522	5149
120	1534	5135
121	1546	5122
122	1562	5119
123	1576	5110
124	1588	5096
125	1599	5077
126	1612	5067
127	1624	5052
128	1637	5038
129	1648	5020
130	1659	5004
131	1671	4987
132	1682	4972
133	1694	4957
134	1706	4942
135	1719	4930
136	1731	4915
137	1742	4899
138	1754	4884
139	1764	4865
140	1775	4849
141	1787	4834
142	1799	4818
143	1811	4805
144	1823	4790
145	1836	4778
146	1847	4764
147	1859	4750
148	1872	4737
149	1885	4725
150	1897	4713
151	1911	4702
152	1928	4700
153	1953	4718
154	1972	4722
155	1995	4732
156	2014	4734
157	2037	4744
158	2057	4748
159	2078	4754
160	2099	4759
161	2117	4758
162	2135	4756
163	2153	4754
164	2172	4752
165	2187	4744
166	2207	4745
167	2223	4738
168	2240	4732
169	2257	4726
170	2275	4724
171	2292	4717
172	2310	4713
173	2329	4712
174	2348	4710
175	2366	4706
176	2382	4698
177	2397	4687
178	2411	4674
179	2426	4664
180	2438	4647
181	2452	4635
182	2467	4624
183	2480	4610
184	2494	4597
185	2508	4586
186	2524	4576
187	2539	4566
188	2554	4555
189	2569	4543
190	2583	4530
191	2598	4520
192	2613	4508
193	2625	4492
194	2637	4477
195	2651	4463
196	2662	4447
197	2673	4429
198	2685	4412
199	2697	4397
200	2709	4381
201	2722	4367
202	2735	4352
203	2747	4336
204	2759	4321
205	2771	4304
206	2782	4288
207	2796	4274
208	2808	4259
209	2818	4240
210	2830	4224
211	2842	4210
212	2855	4196
213	2868	4181
214	2880	4167
215	2893	4152
216	2907	4139
217	2920	4125
218	2933	4112
219	2947	4100
220	2966	4094
221	2988	4092
222	3012	4093
223	3032	4087
224	3050	4080
225	3071	4077
226	3090	4071
227	3115	4071
228	3134	4064
229	3153	4058
230	3171	4050
231	3188	4040
232	3206	4032
233	3226	4025
234	3243	4016
235	3261	4007
236	3281	4000
237	3300	3994
238	3318	3984
239	3339	3979
240	3353	3966
241	3371	3956
242	3389	3947
243	3404	3934
244	3421	3924
245	3437	3912
246	3453	3900
247	3469	3889
248	3485	3877
249	3505	3869
250	3519	3855
251	3534	3843
252	3551	3831
253	3566	3819
254	3581	3806
255	3598	3795
256	3618	3787
257	3642	3783
258	3667	3780
259	3740	3826
260	3777	3835
261	3798	3827
262	3819	3819
263	3838	3809
264	3859	3800
265	3878	3790
266	3898	3781
267	3916	3770
268	3934	3759
269	3953	3748
270	3972	3737
271	3990	3726
272	4009	3715
273	4028	3705
274	4046	3693
275	4065	3682
276	4083	3670
277	4100	3657
278	4115	3643
279	4130	3629
280	4145	3614
281	4162	3601
282	4179	3589
283	4196	3575
284	4211	3561
285	4227	3547
286	4243	3534
287	4258	3518
288	4271	3503
289	4286	3488
290	4302	3474
291	4316	3459
292	4333	3445
293	4346	3430
294	4359	3413
295	4375	3399
296	4396	3389
297	4415	3378
298	4437	3368
299	4459	3359
300	4480	3348
301	4499	3337
302	4522	3328
303	4540	3315
304	4556	3301
305	4573	3288
306	4591	3275
307	4608	3262
308	4628	3250
309	4646	3237
